City,Latitude,Longitude,Max-Temp,Humidity,Cloudiness,Wind Speed,Country,Date
rikitea,-23.1203,-134.9692,78.01,72,100,6.04,PF,1619495166
mataura,-46.1927,168.8643,46.0,75,91,5.01,NZ,1619495167
quelimane,-17.8786,36.8883,75.2,94,20,2.3,MZ,1619495167
hamilton,39.1834,-84.5333,63.0,48,75,9.22,US,1619495060
atuona,-9.8,-139.0333,79.7,74,94,17.45,PF,1619495167
port alfred,-33.5906,26.891,66.34,90,92,16.75,ZA,1619495168
jamestown,42.097,-79.2353,46.0,45,1,6.91,US,1619495128
bambous virieux,-20.3428,57.7575,75.2,94,75,12.66,MU,1619495168
mar del plata,-38.0023,-57.5575,55.99,93,0,1.92,AR,1619494926
palana,59.1167,159.9667,25.92,87,100,5.44,RU,1619495169
soe,-9.8607,124.284,78.67,42,56,4.47,ID,1619495169
tuktoyaktuk,69.4541,-133.0374,10.4,72,1,12.66,CA,1619495169
san patricio,28.017,-97.5169,73.99,94,90,12.66,US,1619495170
puerto escondido,15.85,-97.0667,81.84,75,19,7.4,MX,1619495170
inhambane,-23.865,35.3833,62.6,100,20,6.02,MZ,1619495171
kodiak,57.79,-152.4072,42.8,87,90,16.11,US,1619495107
albany,42.6001,-73.9662,42.01,40,6,1.01,US,1619494886
hobart,-42.8794,147.3294,66.0,48,40,6.91,AU,1619495163
vila do maio,15.1333,-23.2167,69.8,78,75,10.36,CV,1619495172
poum,-20.2333,164.0167,76.41,69,51,23.76,NC,1619495172
busselton,-33.65,115.3333,75.0,70,35,3.0,AU,1619495172
camopi,3.1655,-52.3158,71.69,99,100,1.41,GF,1619495173
georgetown,5.4112,100.3354,82.99,78,20,3.44,MY,1619495173
suoyarvi,62.0833,32.35,30.85,82,99,8.5,RU,1619495173
labuhan,-6.8844,112.2051,85.84,67,38,5.21,ID,1619495124
bluff,-46.6,168.3333,46.0,75,92,5.01,NZ,1619495174
kenai,60.5544,-151.2583,60.8,33,1,13.8,US,1619495174
ushuaia,-54.8,-68.3,42.8,87,40,2.3,AR,1619495162
lasa,46.6166,10.7002,52.0,100,90,4.61,IT,1619495175
saldanha,-33.0117,17.9442,62.6,88,9,2.3,ZA,1619495175
yatsuo,36.5667,137.1333,69.01,39,0,5.75,JP,1619495175
puerto ayora,-0.7393,-90.3518,74.66,91,35,5.19,EC,1619495176
tungor,53.3808,142.9564,36.12,74,31,14.03,RU,1619495176
avarua,-21.2078,-159.775,82.4,69,75,2.3,CK,1619495036
pevek,69.7008,170.3133,26.35,93,100,3.15,RU,1619495177
tiksi,71.6872,128.8694,17.24,83,100,10.22,RU,1619495177
luderitz,-26.6481,15.1594,58.95,81,42,8.1,NA,1619495133
sagua la grande,22.8067,-80.0756,77.0,88,40,5.75,CU,1619495178
bengkulu,-3.8004,102.2655,84.7,65,27,5.39,ID,1619495178
sandwick,60.0,-1.25,42.8,93,75,9.22,GB,1619495178
acoyapa,11.9703,-85.1711,75.96,75,91,9.86,NI,1619495179
dikson,73.5069,80.5464,31.64,98,100,17.13,RU,1619495061
hermanus,-34.4187,19.2345,61.0,88,99,1.28,ZA,1619495179
chapais,49.7834,-74.8492,30.2,55,1,8.05,CA,1619495062
hammerfest,70.6634,23.6821,24.8,93,90,2.3,NO,1619495180
carnarvon,-24.8667,113.6333,82.4,42,0,5.75,AU,1619495159
richards bay,-28.783,32.0377,65.23,87,98,6.24,ZA,1619495180
kapaa,22.0752,-159.319,78.8,65,40,10.36,US,1619495181
cape town,-33.9258,18.4232,62.6,94,90,3.44,ZA,1619494967
severo-kurilsk,50.6789,156.125,32.99,99,100,14.54,RU,1619495181
acajutla,13.5928,-89.8275,73.99,100,22,4.68,SV,1619495121
bilma,18.6853,12.9164,82.35,13,0,9.57,NE,1619495048
takoradi,4.8845,-1.7554,80.02,87,100,6.71,GH,1619495061
butaritari,3.0707,172.7902,82.96,75,42,12.66,KI,1619495197
ahipara,-35.1667,173.1667,63.09,74,69,8.08,NZ,1619495163
gornozavodsk,58.3758,58.3211,37.38,83,100,10.27,RU,1619495197
tuatapere,-46.1333,167.6833,46.0,75,94,5.01,NZ,1619495198
cururupu,-1.8283,-44.8683,74.23,95,89,1.16,BR,1619495198
lebu,-37.6167,-73.65,53.19,87,54,8.12,CL,1619495199
sinjar,36.3209,41.8754,66.36,39,55,5.82,IQ,1619495199
balotra,25.8333,72.2333,94.03,18,0,5.99,IN,1619495200
qaanaaq,77.484,-69.3632,33.75,67,100,7.36,GL,1619495200
yar-sale,66.8333,70.8333,32.77,99,100,13.27,RU,1619495200
te anau,-45.4167,167.7167,44.89,66,69,2.04,NZ,1619495201
bitkine,11.9801,18.2138,81.05,10,53,5.82,TD,1619495201
tasiilaq,65.6145,-37.6368,35.6,75,75,6.85,GL,1619495201
lillooet,50.6856,-121.942,59.0,41,1,17.27,CA,1619495202
hilo,19.7297,-155.09,75.2,69,1,5.75,US,1619495038
vestmannaeyjar,63.4427,-20.2734,44.26,87,68,9.1,IS,1619495202
katsuura,35.1333,140.3,69.8,35,40,3.44,JP,1619495203
vaini,-21.2,-175.2,75.2,94,90,5.75,TO,1619495175
sitka,57.0531,-135.33,50.0,66,75,4.5,US,1619495203
bredasdorp,-34.5322,20.0403,57.2,88,97,3.44,ZA,1619495053
hithadhoo,-0.6,73.0833,82.54,61,7,1.86,MV,1619495204
saint george,37.1041,-113.5841,55.0,58,75,9.22,US,1619495204
shabo,46.1326,30.386,42.8,100,90,4.47,UA,1619495204
baghdad,33.3406,44.4009,80.6,28,99,13.8,IQ,1619495205
new norfolk,-42.7826,147.0587,66.0,39,35,4.0,AU,1619495175
namibe,-15.1961,12.1522,74.03,73,14,6.49,AO,1619495205
paita,-5.0892,-81.1144,70.27,77,91,12.8,PE,1619495206
narsaq,60.9167,-46.05,35.6,93,75,4.61,GL,1619495206
fare,-16.7,-151.0167,81.75,66,7,5.12,PF,1619495206
brus laguna,15.75,-84.4833,73.74,83,3,2.64,HN,1619495207
ilulissat,69.2167,-51.1,35.6,75,80,10.36,GL,1619495207
khatanga,71.9667,102.5,25.16,92,100,18.63,RU,1619495208
victoria,22.2855,114.1577,75.0,92,100,1.99,HK,1619495208
san cristobal,7.7669,-72.225,70.92,79,100,0.69,VE,1619495208
awjilah,29.1081,21.2869,65.44,34,2,4.72,LY,1619495209
husavik,66.0449,-17.3389,28.4,93,0,3.44,IS,1619495019
bathsheba,13.2167,-59.5167,78.8,65,40,17.27,BB,1619495209
mount gambier,-37.8333,140.7667,59.0,72,90,5.75,AU,1619495210
lagoa,39.05,-27.9833,59.09,88,100,13.31,PT,1619495210
punta arenas,-53.15,-70.9167,44.6,93,90,5.75,CL,1619495210
sistranda,63.7256,8.834,32.0,100,20,3.44,NO,1619495211
flinders,-34.5833,150.8552,73.99,61,7,4.0,AU,1619495211
atar,20.5169,-13.0499,78.15,17,40,5.44,MR,1619495033
abu samrah,35.3029,37.1841,58.84,79,0,11.39,SY,1619495212
lavrentiya,65.5833,-171.0,32.56,89,9,2.13,RU,1619495212
codrington,-38.2667,141.9667,61.45,59,87,7.23,AU,1619495213
hami,42.8,93.45,58.19,10,68,2.95,CN,1619495213
quatre cocos,-20.2078,57.7625,75.2,94,75,12.66,MU,1619495187
nikolskoye,59.7035,30.7861,39.2,81,75,6.71,RU,1619495229
ponta do sol,32.6667,-17.1,59.0,76,84,3.0,PT,1619495056
stranraer,54.9023,-5.0273,46.0,90,21,1.01,GB,1619495229
fortuna,40.5982,-124.1573,50.0,81,1,6.91,US,1619495081
torbay,47.6666,-52.7314,42.01,93,90,17.27,CA,1619495230
kamaishi,39.2667,141.8833,57.2,28,20,6.91,JP,1619495231
bimbo,4.2567,18.4158,78.8,89,12,1.77,CF,1619495231
provideniya,64.3833,-173.3,39.2,65,0,3.67,RU,1619495176
pisco,-13.7,-76.2167,64.99,88,0,2.26,PE,1619495232
honningsvag,70.9821,25.9704,32.0,74,75,8.05,NO,1619495232
puerto ayacucho,5.6639,-67.6236,75.69,91,87,4.63,VE,1619495232
villa maria,-32.4075,-63.2402,52.0,85,0,4.0,AR,1619495233
tautira,-17.7333,-149.15,82.4,69,20,3.44,PF,1619495233
saint anthony,45.0205,-93.218,46.4,87,90,10.36,US,1619495233
